input_file	graph	output_file	json_file
仁木町議会　令和5年9月　第3回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00113	Hokkaido_00113.trig	.\output\json\Hokkaido_00113.trig.json
仁木町議会だより　令和5年8月発行.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00114	Hokkaido_00114.trig	.\output\json\Hokkaido_00114.trig.json
令和2年12月　第4回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00115	Hokkaido_00115.trig	.\output\json\Hokkaido_00115.trig.json
令和2年6月　第2回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00116	Hokkaido_00116.trig	.\output\json\Hokkaido_00116.trig.json
令和2年9月　第3回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00117	Hokkaido_00117.trig	.\output\json\Hokkaido_00117.trig.json
令和3年3月　第1回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00118	Hokkaido_00118.trig	.\output\json\Hokkaido_00118.trig.json
令和3年6月　第2回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00119	Hokkaido_00119.trig	.\output\json\Hokkaido_00119.trig.json
令和4年3月　第1回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00120	Hokkaido_00120.trig	.\output\json\Hokkaido_00120.trig.json
令和4年6月　第2回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00121	Hokkaido_00121.trig	.\output\json\Hokkaido_00121.trig.json
令和4年9月　第3回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00122	Hokkaido_00122.trig	.\output\json\Hokkaido_00122.trig.json
令和5年3月　第1回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00123	Hokkaido_00123.trig	.\output\json\Hokkaido_00123.trig.json
令和5年6月　第2回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00124	Hokkaido_00124.trig	.\output\json\Hokkaido_00124.trig.json
令和5年9月　第3回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00125	Hokkaido_00125.trig	.\output\json\Hokkaido_00125.trig.json
令和6年3月　第1回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00126	Hokkaido_00126.trig	.\output\json\Hokkaido_00126.trig.json
令和6年6月　第2回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00127	Hokkaido_00127.trig	.\output\json\Hokkaido_00127.trig.json
令和6年9月　第3回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00128	Hokkaido_00128.trig	.\output\json\Hokkaido_00128.trig.json
令和元年12月　第4回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00129	Hokkaido_00129.trig	.\output\json\Hokkaido_00129.trig.json
北海道環境影響評価条例に基づく公聴会の開催中止について（（仮称）北海道小樽余市風力発電所） - 環境生活部環境保全局環境政策課.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00130	Hokkaido_00130.trig	.\output\json\Hokkaido_00130.trig.json
参考資料６．釧路地域における太陽光発電施設の開発について（令和7年10月　環境省自然環境局野生生物課）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00131	Hokkaido_00131.trig	.\output\json\Hokkaido_00131.trig.json
太陽光発電事業の更なる地域共生・規律強化に向けた関係省庁連絡会議の設置について.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00132	Hokkaido_00132.trig	.\output\json\Hokkaido_00132.trig.json
太陽光発電事業の更なる地域共生・規律強化に向けた関係省庁連絡会議（第一回）【議事要旨】20250924.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00133	Hokkaido_00133.trig	.\output\json\Hokkaido_00133.trig.json
平成29年6月　第2回定例会.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00134	Hokkaido_00134.trig	.\output\json\Hokkaido_00134.trig.json
広報まつまえ2020年11月号_8.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00135	Hokkaido_00135.trig	.\output\json\Hokkaido_00135.trig.json
広報まつまえ2021年11月号_10.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00136	Hokkaido_00136.trig	.\output\json\Hokkaido_00136.trig.json
松前町スマート・シュリンクＳＸビジョン.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00137	Hokkaido_00137.trig	.\output\json\Hokkaido_00137.trig.json
松前町スマート・シュリンクＳＸビジョンを策定しました。（松前町ウェブサイト）.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00138	Hokkaido_00138.trig	.\output\json\Hokkaido_00138.trig.json
次世代が担う街づくり 若手活躍現場Report Vol.1 リエネ松前風力発電所 ｜ 東急不動産 ｜ 日本経済新聞 電子版特集.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00139	Hokkaido_00139.trig	.\output\json\Hokkaido_00139.trig.json
釧路市ホームページ：20230701 釧路市自然と共生する太陽光発電施設の設置に関するガイドラインを策定しました.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00140	Hokkaido_00140.trig	.\output\json\Hokkaido_00140.trig.json
釧路市ホームページ：20250601 釧路市は「ノーモア メガソーラー宣言」をしました.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00141	Hokkaido_00141.trig	.\output\json\Hokkaido_00141.trig.json
釧路市ホームページ：20250723 釧路市自然と太陽光発電施設の調和に関する条例（案）についてのご意見を募集します。～意見募集は終了いたしました～.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00142	Hokkaido_00142.trig	.\output\json\Hokkaido_00142.trig.json
釧路市ホームページ：20250910 釧路市自然と太陽光発電施設の調和に関する条例（案）についての意見募集結果について.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00143	Hokkaido_00143.trig	.\output\json\Hokkaido_00143.trig.json
釧路市ホームページ：20251001 釧路市自然と太陽光発電施設の調和に関する条例.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00144	Hokkaido_00144.trig	.\output\json\Hokkaido_00144.trig.json
釧路市議会議員　大越拓也のブログ：250430 釧路湿原と未来のために：大規模太陽光発電計画に対する要望書を提出.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00145	Hokkaido_00145.trig	.\output\json\Hokkaido_00145.trig.json
釧路湿原自然再生協議会ホームページ：230418 釧路湿原周辺における再生可能エネルギー事業に関する提言.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00146	Hokkaido_00146.trig	.\output\json\Hokkaido_00146.trig.json
鶴居村ホームページ：タンチョウの聖地「音羽橋」景観保全へのご寄付御礼と寄付受領証明書発送時期に関するお知らせ.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00148	Hokkaido_00148.trig	.\output\json\Hokkaido_00148.trig.json
鶴居村ホームページ：鶴居村美しい景観等と太陽光発電事業との共生に関する条例の制定について.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00149	Hokkaido_00149.trig	.\output\json\Hokkaido_00149.trig.json
（道環境影響評価対象案件）案件個票_法_松前北部風力発電事業.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00150	Hokkaido_00150.trig	.\output\json\Hokkaido_00150.trig.json
（道環境影響評価対象案件）法62_（仮称）松前２期風力発電事業.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00151	Hokkaido_00151.trig	.\output\json\Hokkaido_00151.trig.json
（道環境影響評価対象案件）法84_（仮称）古平・余市ウィンドファーム事業.pdf	https://kozaki-lab.jp/REFV-KG/docs/Hokkaido/00152	Hokkaido_00152.trig	.\output\json\Hokkaido_00152.trig.json
